ax,ay,az,gx,gy,gz
-1364,-348,18664,-193,568,-38
-1312,-368,18720,-96,141,-24
-1048,-276,18840,-1,-396,-15
-768,-264,18572,-133,1,-26
-844,-324,18696,-141,360,-35
-932,-312,18864,-157,563,-39
-832,-272,18692,-133,207,-28
-872,-264,18720,-137,295,-24
-896,-260,18752,-145,327,-27
-868,-232,18788,-143,276,-32
-848,-288,18632,-146,346,-31
-876,-284,18808,-144,275,-31
-848,-296,18728,-146,311,-27
-848,-336,18744,-151,427,-32
-928,-220,18720,-136,268,-31
-996,-288,18932,-151,380,-30
-824,-304,18612,-135,211,-29
-828,-276,18760,-138,269,-24
-836,-252,18684,-145,320,-28
-808,-272,18784,-146,305,-35
-872,-280,18628,-146,357,-34
-916,-272,18884,-144,190,-26
-628,-184,18504,-145,62,-27
-868,-288,18940,-153,468,-30
-688,-272,18580,-143,253,-22
-784,-276,18712,-142,223,-22
-828,-272,18936,-145,318,-30
-728,-320,18736,-146,341,-29
-780,-276,18780,-146,325,-31
-656,-272,18704,-150,309,-27
-780,-228,18708,-144,335,-34
-744,-264,18716,-144,332,-27
-776,-228,18712,-147,328,-30
-752,-256,18780,-141,329,-31
-652,-296,18680,-147,325,-30
-752,-200,18784,-142,326,-30
-732,-252,18724,-144,325,-31
-724,-256,18804,-143,326,-22
-756,-300,18784,-146,331,-33
-800,-280,18804,-145,330,-32
-752,-280,18724,-148,330,-38
-716,-308,18808,-148,326,-34
-784,-208,18684,-143,329,-27
-644,-180,18624,-147,328,-32
-740,-236,18760,-146,335,-32
-764,-260,18716,-152,326,-32
-740,-240,18636,-145,327,-33
-724,-236,18768,-144,324,-30
-708,-236,18720,-144,327,-29
-752,-172,18792,-142,327,-27
-708,-252,18808,-145,329,-30
-704,-296,18656,-147,329,-34
-780,-296,18764,-144,321,-27
-788,-228,18680,-146,330,-29
-792,-224,18716,-141,328,-27
-764,-244,18748,-151,331,-33
-804,-220,18736,-141,328,-28
-708,-260,18732,-146,327,-35
-696,-264,18736,-142,326,-30
-708,-224,18776,-148,326,-32
-692,-296,18736,-147,327,-31
-736,-232,18640,-149,327,-27
-748,-268,18692,-148,329,-30
-716,-264,18672,-152,327,-29
-748,-224,18760,-141,328,-34
-756,-296,18732,-147,325,-30
-740,-244,18768,-142,331,-31
-720,-256,18748,-148,320,-28
-724,-268,18664,-144,327,-24
-752,-236,18760,-145,327,-29
-748,-268,18716,-150,325,-28
-748,-248,18772,-144,329,-37
-692,-228,18704,-148,330,-34
-752,-216,18676,-150,326,-31
-732,-280,18796,-149,330,-32
-756,-196,18628,-144,320,-28
-712,-288,18748,-141,332,-27
-736,-248,18720,-146,335,-32
-660,-300,18768,-144,332,-31
-768,-240,18856,-147,327,-29
-772,-228,18764,-146,350,-27
-768,-240,18780,-149,336,-28
-716,-300,18728,-145,340,-28
-720,-296,18796,-145,332,-30
-732,-300,18780,-146,326,-27
-700,-236,18840,-145,355,-32
-904,-264,18788,-154,426,-33
-896,-240,18764,-152,396,-30
-828,-208,18664,-151,343,-35
-928,-248,18756,-146,317,-33
-1004,-280,18936,-154,401,-33
-832,-264,18700,-144,304,-26
-984,-288,18752,-157,375,-31
-848,-176,18656,-162,461,-39
-900,-256,18620,-209,720,-37
-1156,-300,18752,-176,487,-36
-1104,-328,18792,-141,292,-30
