ax,ay,az,gx,gy,gz
-1092,-704,18656,-240,568,755
-888,-204,18708,-157,418,-12
-652,-68,18384,10,-556,-6
-896,-184,18756,-107,96,-21
-532,-324,18624,-164,-24,-30
-756,-288,18788,-146,308,-29
-732,-204,18692,-143,325,-28
-712,-276,18676,-149,324,-26
-732,-256,18744,-149,326,-29
-728,-244,18752,-145,327,-30
-728,-232,18768,-143,327,-30
-756,-252,18796,-144,325,-29
-664,-208,18732,-148,329,-30
-736,-312,18796,-147,326,-33
-800,-276,18728,-144,325,-32
-660,-224,18732,-146,329,-32
-664,-288,18772,-147,328,-26
-772,-268,18712,-146,328,-29
-704,-228,18732,-143,325,-33
-688,-260,18756,-148,328,-28
-728,-216,18812,-147,320,-32
-732,-268,18688,-145,331,-26
-760,-240,18740,-145,325,-33
-740,-252,18688,-146,331,-36
-788,-284,18696,-146,326,-32
-800,-260,18840,-145,328,-34
-736,-204,18704,-139,326,-31
-700,-240,18736,-147,327,-30
-724,-248,18840,-147,325,-30
-704,-208,18724,-144,325,-32
-752,-248,18848,-151,324,-30
-812,-284,18792,-146,330,-32
-736,-220,18776,-144,328,-31
-776,-276,18716,-148,323,-24
-716,-236,18760,-144,320,-31
-660,-212,18836,-146,326,-29
-808,-256,18772,-147,324,-31
-780,-224,18736,-140,325,-26
-736,-236,18760,-143,327,-31
-720,-264,18720,-145,332,-32
-788,-308,18796,-146,325,-29
-720,-292,18764,-144,327,-29
-692,-280,18724,-146,331,-32
-736,-248,18704,-150,330,-32
-696,-304,18768,-146,328,-27
-712,-256,18700,-149,323,-32
-740,-248,18788,-147,327,-27
-680,-256,18748,-142,325,-27
-740,-272,18736,-144,326,-29
-744,-248,18728,-145,331,-27
-680,-240,18740,-147,321,-34
-716,-244,18816,-147,325,-35
-724,-304,18776,-143,328,-31
-752,-212,18812,-139,323,-35
-704,-196,18760,-148,326,-24
-732,-236,18788,-143,323,-30
-752,-240,18792,-143,324,-27
-688,-284,18796,-143,324,-26
-700,-300,18680,-147,327,-26
-724,-248,18764,-147,325,-31
-720,-252,18828,-142,325,-27
-760,-292,18600,-146,327,-33
-700,-240,18792,-151,327,-25
-716,-308,18768,-145,324,-35
-716,-280,18756,-143,321,-33
-644,-272,18824,-145,328,-32
-684,-240,18656,-143,320,-28
-712,-236,18756,-149,327,-28
-708,-304,18728,-148,328,-28
-720,-268,18632,-140,327,-27
-716,-276,18860,-148,328,-33
-792,-256,18756,-143,326,-26
-788,-268,18720,-148,333,-30
-748,-236,18760,-150,331,-32
-724,-224,18704,-148,324,-31
-716,-312,18804,-148,327,-34
-736,-248,18692,-146,325,-26
-748,-260,18672,-147,330,-28
-708,-272,18872,-150,327,-38
-720,-240,18804,-143,323,-32
-628,-268,18672,-143,325,-31
-752,-212,18816,-150,322,-24
-700,-232,18756,-144,326,-33
-712,-256,18696,-148,324,-28
-692,-184,18832,-141,327,-25
-756,-248,18932,-153,306,-31
-728,-228,18816,-147,311,-29
-800,-304,18748,-147,323,-32
-724,-228,18744,-141,326,-29
-712,-180,18740,-146,326,-31
-780,-272,18540,-141,330,-28
-748,-312,18792,-139,329,-27
-732,-228,18724,-150,326,-29
-756,-244,18824,-150,327,-29
-692,-228,18820,-149,325,-29
-748,-224,18816,-147,327,-32
-708,-236,18720,-149,325,-26
-744,-268,18676,-143,332,-32
-708,-236,18728,-146,321,-30
-708,-224,18752,-144,324,-34
-692,-224,18716,-148,328,-27
-580,-280,18596,-143,322,-31
-672,-248,18808,-145,330,-31
-720,-240,18832,-155,353,-37
-720,-272,18836,-142,315,-31
-688,-164,18788,-145,330,-28
-688,-316,18676,-145,337,-28
-888,-228,18960,-149,348,-34
-732,-216,18824,-147,321,-29
-792,-248,18960,-160,439,-32
-812,-200,18704,-156,606,-35
-784,-180,18564,-187,673,-44
