ax,ay,az,gx,gy,gz
2400,-260,18440,39,747,-74
3020,-192,17316,905,-1079,-217
692,-2936,14504,708,13109,914
-4140,2888,24440,1357,15174,280
-7328,-1396,21004,-1890,-11384,-765
-3020,-916,14892,-2272,-32768,2965
6312,-1604,14208,1383,-6089,-457
7564,-2600,8804,1467,9916,-975
-7152,2116,21824,2243,20360,-885
-9140,-920,21644,-1110,19,-1705
3580,-540,14620,-2692,-32768,2242
6352,244,11396,1201,5495,-1079
8,1456,19716,1552,22611,-1124
-6904,1260,18324,-387,1382,45
-9664,848,21316,-4412,-27563,2746
3696,1940,17844,1390,-1704,787
-568,-696,20936,1930,371,-491
1956,992,20480,1180,4321,-1122
32,1624,19228,-1139,-1850,834
1016,-1664,17908,-726,-2174,1996
-2080,-1296,19744,-1973,1841,1117
-136,-192,14768,-241,19174,752
-9212,688,21060,1267,16120,99
-10964,1256,19640,-1471,-29598,-3359
4740,-628,17648,-910,-13948,-667
9492,-1096,12428,-647,3343,-1574
-116,136,7284,3674,30613,-14
-7820,1980,14632,-429,13640,956
-12400,1300,25360,-1393,-12583,-761
5832,-1216,12760,-1787,-15989,-756
5688,-676,12608,221,2605,-204
-9064,172,21716,656,9344,683
-1624,812,12716,-3238,-32768,-1064
-12392,6848,10732,4543,32767,2691
-7340,644,17508,-1195,-4381,169
7316,-1484,8464,-3613,-27432,-1142
5120,432,5588,1738,18114,183
-10572,-728,23168,-1590,-11375,553
4760,-228,10384,-3055,-12228,-463
-18364,2736,29172,4639,32767,2669
-1120,3848,16552,-4046,-32768,-1599
8060,-2408,3700,-1945,-12243,-681
-13032,1904,26328,4365,32767,1951
-13024,-544,28240,-2682,-17485,81
8908,-1844,4248,-2145,-7228,-444
6636,-612,9128,51,16268,-332
-10216,-528,25156,-692,-8724,725
9836,-1672,2156,-1825,-11350,-831
-10916,880,16476,4125,32767,2398
-7736,-196,23756,-1067,-5429,203
8000,-2048,5824,-3314,-13353,-1168
-1032,-216,10828,2908,32767,1805
-8956,664,28040,-2768,-31540,-688
7812,-52,7988,-3934,-25805,-1438
-9032,2672,12556,4746,32767,3505
-6264,848,24712,-4051,-27316,-1120
7044,-2132,7320,-460,6110,-497
-11252,-792,24188,1893,4511,724
-1292,2116,15576,-3424,-32768,-1294
7228,-1500,4120,-722,1722,-1875
-7780,-2052,32767,1444,13790,1478
-8996,836,27812,-3691,-24930,-255
6040,-708,10608,1529,8650,-846
-10664,328,30392,2060,16294,-481
6044,-720,9816,-4177,-28898,-1086
7340,-172,9240,697,5475,-95
-10748,-1824,32767,702,12974,-262
-4920,2000,20276,-5425,-31639,-713
7368,-680,10944,1774,10131,-231
-10240,-3448,29860,1571,14269,-1295
8612,296,-1112,-3500,-32768,-1190
2228,436,21712,-7,-2627,-134
2840,548,22708,-949,-7337,-452
6844,-472,16456,-310,-2688,-701
7460,-620,11212,994,8187,297
-9236,-160,24572,853,19242,-1015
-8396,260,17288,-563,7936,86
-7932,3672,16196,-3610,-32768,-107
7020,-1008,15056,1471,2123,217
-1092,492,20248,-189,16055,113
-11752,468,24232,2306,23820,-1473
11152,-928,11716,-4648,-28232,-2463
7048,-72,15208,2576,5358,382
-8040,608,19620,2162,32767,1249
-8704,16,22512,-650,5394,-306
-12316,-1272,32767,-2300,-19003,-360
6612,-568,13244,2247,5212,-45
-9364,2000,26132,1756,32673,-1351
-7828,140,19452,-321,-2537,120
10876,-1640,3996,-3431,-22522,-1266
6436,-328,14108,1565,5330,123
-8660,912,28512,1922,32767,-317
-6228,-568,23896,-1331,-9149,28
8096,-504,11760,318,-7198,-250
-12032,-3868,27348,-71,13300,-1536
-7060,-64,23700,-2210,-18263,-131
6416,1088,15484,3359,5365,699
3788,-208,12556,1920,21039,359
-10136,-2680,22884,15,3939,-1395
-5712,1764,20928,-2139,-32768,-290
5700,452,9264,1513,13768,481
-9188,-3196,22040,-425,416,-721
9916,2464,2540,-3837,-32768,-710
-288,1184,13492,1902,31379,62
-10412,-2584,30388,13,18877,-753
1848,2224,11128,-3243,-32768,-523
6124,-8,14236,531,1068,-187
-8780,80,29856,2063,27096,-258
-728,2496,16672,-3169,-32768,-766
2656,784,8620,1048,22278,127
-3996,116,20712,-6,10827,335
