ax,ay,az,gx,gy,gz
-7796,-1124,29164,-1538,-18474,-427
8496,2444,6692,-4660,-32768,-1964
980,-416,14152,2214,26758,1336
-7076,788,22308,1943,30594,243
5628,-2028,10132,-1253,-8450,-858
268,972,12060,2337,28143,1054
-7892,-408,21456,-534,-5324,107
-8608,1932,23692,-2979,-32768,127
6580,768,13736,1639,4824,290
528,1216,8332,2885,29198,872
-8824,-192,21952,-1081,-7573,548
-9868,1968,24612,-3729,-32768,-563
8220,572,10864,813,8196,-337
-13064,-2576,31848,464,27784,-1230
-5712,4352,15212,-3609,-32768,-611
7576,-156,8256,567,-7894,-741
-1236,352,9416,2401,28471,1372
-9252,880,26188,2153,32767,-163
-5804,1976,17188,-2788,-32768,-196
9240,168,10608,1020,-4996,-273
-4088,3876,16996,3755,32767,443
-8640,1104,22384,-894,-6686,197
6716,-172,8776,-1657,-17826,-136
5272,-2908,4156,372,20599,-407
-11240,1944,26272,2434,32767,-10
-8592,-628,25868,-1116,-26276,125
7524,492,15188,2397,-13,230
-5740,1184,22308,2721,32767,-765
-8700,-792,24776,-1712,-18963,546
8496,428,6164,-2865,-32079,-474
7156,388,10200,1077,8127,-331
-7340,2740,16468,2994,32767,337
-8088,-444,20208,-1346,-11518,383
-4252,3948,17704,-3925,-32768,17
5832,812,11148,1594,7518,-1752
1644,380,17056,-955,2991,228
1516,548,18884,-562,330,519
2088,800,17828,-93,525,375
180,-104,20968,-42,2543,-31
-136,252,18948,323,2419,119
1580,-160,18544,-489,1464,476
-264,2396,16872,196,-2889,118
792,852,17920,928,1967,1171
116,708,19480,-400,1220,850
