ax,ay,az,gx,gy,gz
-208,440,19160,-830,-117,-374
-984,-108,21396,278,524,217
2688,436,14092,1172,-216,-101
-1688,776,19232,-466,2406,-159
1144,516,18108,766,488,121
-1492,3404,20888,-427,697,464
-988,-732,18556,2203,-1539,5176
-2200,-8636,17176,-11891,7201,-5890
1972,6176,15752,11932,-3665,6428
528,4768,15724,-2782,3811,1630
6232,4072,11220,5799,-10391,-2791
1336,1172,14192,3452,4203,3787
-10196,-5460,30660,-4316,8548,-1615
13796,19180,4536,15555,-7390,8157
-7408,-11644,21044,-26909,14086,-13277
-220,3904,14564,-2893,7702,-2652
1628,17592,11604,5304,4764,4388
2116,-36,12700,-5720,-10880,-5924
-7792,-5816,23280,-13165,5429,-8123
-636,80,14600,10176,255,826
6268,-4248,6732,-13710,5543,-4880
-16256,-5972,32767,-4287,2972,357
-7612,-3788,24752,-20503,9419,-11494
1180,13792,19176,21956,-3403,11961
-4272,-4556,20256,-19919,7927,-12444
10828,12208,4268,13125,-6487,6878
-6920,-10932,20928,-20362,8280,-9078
5180,3852,12128,-4132,5483,-872
-7524,864,25976,2156,-7924,1625
-856,1296,15212,-215,-5700,-684
-3252,-4680,17584,-11993,6502,-4635
3700,-552,24784,-10930,-2570,-2463
-304,1956,3168,13490,-2797,1015
-5360,2036,13936,25215,888,2890
-11492,-7920,32767,-7367,20114,-3171
-4552,-1248,17784,-2970,-3468,2172
-28872,-8032,32767,14460,25134,700
1928,3456,216,-1178,-6551,-3588
-2116,3636,3816,8417,-2300,1734
724,2104,164,1573,-10061,-2332
-7284,1896,19100,-980,-7715,-777
17600,-25272,25872,-18791,-2606,-3076
64,-104,-1520,-17577,-17099,-6726
-656,4552,13592,2736,1514,1540
-2516,6280,16164,9164,-2697,934
-7764,6896,14936,-15684,-19533,-10486
-6800,8104,20024,-2419,-10064,-6316
13356,456,5456,6055,5999,3299
1732,2992,-5420,-16906,-19617,-12490
1700,944,-984,10957,5237,3628
5924,1184,8320,-5777,-2930,3880
-10992,-18940,32384,-1163,2515,-70
-22384,-17676,32767,-4360,1286,485
732,5892,2996,-1523,23040,4711
12020,5300,-796,5317,6590,1480
-28824,-6108,32767,10882,4904,419
-3588,-20444,32767,-4666,6200,7524
-2080,6568,8024,-7811,-12955,-3638
-11396,6172,19388,-2602,-3429,-6818
-10228,1168,32767,6214,9775,-2513
720,-9188,32767,-11704,-14020,437
-12224,5436,32767,-7902,5486,1943
-27288,-23544,32767,3819,10818,-2487
-2236,13148,17484,6256,5076,8110
-10820,244,9980,-8694,-14632,-6900
-2892,-1856,9452,336,-9153,-811
2172,9716,20792,-67,14185,-2398
-2844,9620,8448,-5406,6109,-5790
-9864,-10932,27404,-2260,3646,685
4032,-3524,8984,3990,3008,22
-15560,9508,25860,12963,-5289,5765
25076,-11280,-17300,-3710,16018,-970
-4640,6140,25248,-12698,-1696,1640
-8504,-1212,32767,-10623,2440,-5296
-4244,2092,2344,-2378,-14618,820
-812,1832,-2260,2663,26925,9
-2960,6412,11836,16874,-10514,-1220
-28720,-888,32767,-11021,7471,-5886
-3396,8176,11268,-2637,10624,369
-5992,-10440,32767,-7879,11584,5277
6988,-9216,-500,18871,-4029,5204
4628,4564,5272,-17193,-6604,-8543
-3328,15864,24504,-19630,-7981,22
-6616,-13116,20140,17873,17885,2516
-4856,18548,16860,13334,-4212,4770
-7716,-10216,20680,-819,2789,5743
-7224,-1248,25096,-3245,4827,-2768
-640,-2332,9984,13177,-1589,1435
-604,7564,8184,28377,17576,-2574
-12228,10956,4444,9609,22467,9899
4808,-1148,7240,-32768,-10444,-15413
5284,-8532,4468,3757,-8360,8210
-1956,5156,16484,-2888,3490,-607
-4660,7312,18316,136,-3442,6751
-4320,1448,13724,-21056,-13352,6834
592,-8652,3020,21033,-4305,4484
-3640,8456,18712,8790,-13683,-4574
2804,3880,-3776,15022,1934,644
-18700,19188,29160,-8559,-19301,-7203
12720,-9816,10824,3672,2273,3064
-5936,8544,15928,25432,8714,8855
-2608,11152,26004,-26662,-8116,-11445
5624,-4356,10284,6613,-3617,6141
-4248,-4292,16688,552,18938,2383
-2960,6832,26480,19542,-2986,15340
1032,-3400,17360,1933,-3088,3475
-14360,-1968,32767,-1405,15302,-11627
636,4184,7312,9517,-3522,6048
-13404,4860,28332,-12004,-3907,-3314
6356,-6120,-4,-6883,-22679,452
-21576,332,30824,17223,20161,9529
-2796,14216,21232,4093,1816,1379
-3520,-9416,9160,1090,-105,2687
-14240,-17348,31484,7989,12618,604
-1408,11004,22748,-1398,-7263,5052
428,-4844,11912,12364,-3612,1749
-6160,6256,27376,-1147,9102,5474
696,-4640,19100,-1536,765,260
5396,1912,7072,-19249,1450,-1824
-3144,-9080,19140,-2864,989,9224
-5168,9380,24968,18867,179,5065
-14696,-8824,23396,5998,16103,10516
-700,1348,17508,2206,399,-2797
3564,4644,10800,-3798,-664,-3477
2088,-3344,7892,12017,4491,2742
-6840,12992,24300,15790,-4140,7828
-15204,-7216,29656,-14687,8324,-5358
-1544,-3048,4248,-27542,4659,-16423
-12584,4124,27516,-294,7526,-7555
4948,-784,1088,-3461,-3633,3036
-7536,11816,21372,20092,3333,923
-516,-2964,772,-15785,6543,-7911
2848,15056,15080,9241,-8553,-1813
6764,10488,18084,-8964,11763,-598
-676,-6452,4436,3361,-740,-3919
-2556,13716,24216,18064,-2722,2675
-16144,-1988,32767,-833,6410,-5422
-1628,13568,32767,-19314,22345,-9740
920,-3484,2836,-4274,1236,-1680
-428,-2232,12356,18125,-2697,5583
-1404,8600,8688,23895,11698,7594
1056,-152,-76,-13086,1865,-1653
-5700,-832,20072,-10081,-7802,-2026
-10180,-8044,26404,-4389,2197,25
2528,-2396,432,119,527,-5844
-17032,8536,32767,3594,-7181,2396
3124,-4,8776,-3737,-10851,8750
-4140,-4936,3308,17812,-11845,6919
-1212,9676,16584,-17687,8061,-15276
-1200,-11604,10624,-2306,-4115,-572
-6080,-6716,17024,11479,1840,-5343
3360,1464,13184,7132,-846,7783
-5392,-908,26416,-6251,1407,-3378
-1196,3384,20064,-1250,-1969,-35
416,4020,15200,608,-1582,-674
-944,3584,17164,-136,1555,-1181
28,2800,16924,-1177,912,-1069
-856,1996,19092,-919,1721,-30
-1240,1784,20124,-42,828,-261
160,1076,18744,-1142,1894,-728
-156,1696,17144,291,-86,-215
-2712,-1216,21592,522,-1140,-626
-716,1472,17252,-794,2459,-878
-804,548,17588,1261,431,470
