ax,ay,az,gx,gy,gz
68,-356,18688,-360,436,70
-172,-260,20032,-96,261,-80
1056,5744,15156,-2294,-1909,1207
-1216,5244,17172,-14999,-7433,-8657
1184,280,15128,-8943,3244,-2840
-1276,-15424,15528,-692,2514,3391
-3384,-16644,27024,14041,7490,7341
6216,10136,3072,-7991,-2283,-2844
712,7048,12740,-5615,-7435,-5254
1364,-6332,16884,3580,957,4269
-5680,9864,21628,-4968,-3590,-4980
-6320,-14528,32767,-2378,3985,-315
5192,432,12104,777,3841,485
6020,9784,-3292,-12745,-6509,-8991
2732,-2932,28460,16157,82,5545
4220,16044,11244,-24155,-6448,-9491
-988,-8928,14488,7461,8742,6319
6016,-9820,13088,-6571,4034,7502
-56,2816,12232,15839,-5815,6016
1632,3372,14424,-15331,-10159,-5928
-3476,-4808,27636,-8751,2281,-7777
-4728,-14480,21328,20654,16391,12280
1940,23852,4496,-21501,-14975,-12636
-14512,1396,7924,11113,-17898,4255
-4456,-13824,32767,2741,12026,9084
-484,8352,32324,-223,1056,1834
4396,1028,-1396,3843,-3975,1347
-3912,-10504,32767,-331,-11392,5605
10588,1792,-6112,3124,-8660,357
3452,-2236,-460,-4728,1383,1338
-24920,-5848,32767,9085,8063,859
5112,-10076,-19592,2919,-4414,3180
11268,268,-14224,-1591,-12770,456
7436,1888,-10128,-4533,-4001,505
1804,3724,11964,-2285,-17144,-987
-32768,852,32767,-358,32767,-2171
5372,3624,2940,-5079,-9652,-529
3720,3000,-7148,-1799,-13011,1442
-32768,-5316,32767,-3626,32767,-1437
-32768,-2492,32767,13566,26824,-151
6908,-760,2460,876,9454,-557
5672,-1784,-6360,2364,5023,5534
4428,136,-796,-1804,5493,-2228
1856,6740,25484,-3178,-10575,-2159
-23164,-4872,32767,16337,7004,3218
2600,876,-1172,-5526,-2953,-1663
5476,2176,1040,-17343,-6123,-4716
-14184,-13648,14704,31887,-8135,6403
-6112,2936,23548,9577,-4625,5594
-4252,5264,28772,-12127,9051,-5822
140,-11352,17516,29254,-5306,9935
16296,14968,32767,-5190,-8063,-640
364,-1128,1756,12244,10467,5988
4120,-224,-11836,8680,-27980,2338
-21332,-7252,32767,-5313,30746,-408
-2652,-6872,8520,25584,6741,8089
-660,13072,32767,-25629,-11549,-7469
-11568,-15756,32767,-700,19787,444
4932,-888,504,6305,-236,4205
-4256,-2468,13540,11950,5243,5289
-6112,-11912,18260,-4069,3483,805
7668,9336,27492,-21101,-3590,-4927
-9196,-992,32767,-18459,6788,-12448
3692,-500,-5412,19673,5286,4945
1424,1156,-3752,16944,-6348,683
-7056,-2816,32767,-15634,3325,-5845
3048,-18980,24380,7952,31793,6756
-6968,15892,32767,-19452,-9580,-9159
-5884,-12280,23688,2193,3552,333
3876,-6268,1568,20249,-7829,8573
2888,-2436,-5176,19657,-14786,9224
5508,7988,9700,-7423,-8496,-6
552,15204,24532,-23417,-13095,-7354
6440,-7000,6916,17368,5554,7550
1488,-6044,20328,-187,3851,-2357
-2556,15012,25152,-6549,-2440,-3915
-3960,8384,32767,-10887,15750,-471
-2660,-10748,22796,-5633,1776,-3066
2668,-6828,9748,4149,-2314,1830
-1800,-10880,8840,2862,2736,1966
-648,-11188,14352,16590,3915,9768
-3084,-4464,24872,-8069,7398,-5818
4428,-2304,12964,15755,-3933,3015
-5176,-6088,22516,-2444,5399,-164
2648,3228,10908,16714,-661,5451
-4340,-10032,19532,10173,9703,3184
5564,-1008,13084,-2108,-327,-538
-7340,-1268,18084,-11884,9,-8897
-6752,-17740,15976,11362,8031,9382
9460,-6656,12260,664,-6123,6079
-8156,-9184,24140,-10269,2739,-6376
-5200,11492,32767,-26490,-6961,-13368
-4852,-22632,32767,14774,12026,3867
2476,-3540,-312,13275,104,2103
-2952,12944,16432,-13743,-4406,-8548
-5020,-27268,32767,10351,15837,10412
6000,-7916,736,-6296,-14845,3506
-4376,-25964,32588,2820,10759,9263
7920,-1384,7756,-1775,-5308,6709
1132,-7536,25396,23321,6384,11628
1016,21464,17416,-19391,-5668,-16325
-8160,3552,32767,1333,3683,-1902
4900,-12496,23064,-2798,2737,8560
6088,-12324,4820,9104,3681,5122
-7256,12320,32767,-3316,5536,-2279
-772,-7004,24168,-13532,6050,-5927
-3708,3788,20064,10313,-11295,5322
16,16380,32767,-9061,-1013,-4728
-10740,-16676,32767,-6630,10948,3736
9768,-1120,20696,5354,9136,4431
-684,-3932,1600,-12719,-2608,-5713
-144,-5928,1428,27513,-2336,7657
1960,-5912,18412,9754,8515,4933
1292,-11908,6076,7346,1785,6240
-3592,13076,25088,-5363,-13518,-6635
-3232,6756,32767,-7361,5622,-5633
1556,-3316,-1352,5447,-5588,5632
4980,7532,5916,15257,-12671,3539
-1880,6956,27860,-32768,-4918,-15483
3208,-1356,10504,21026,8031,2487
-2932,3640,14384,5538,12268,-2825
-680,14808,32767,-26831,-6587,-7152
5772,7684,9220,7505,-14595,983
-6784,-2636,28556,-17376,6017,-5362
2880,-6224,9380,18573,378,1687
-2740,608,22092,-6344,977,-1329
6020,-3548,17280,-11414,-7911,-1352
-388,-9500,11176,-2120,6853,-2369
2788,-5308,5888,18952,-3636,7719
6160,-1820,18244,6800,-1637,-170
2800,-8512,32767,-19114,6461,-8660
-1488,2372,-5380,11242,-10253,6097
-5432,-8352,6676,-16559,-5656,-4616
1532,-5400,9212,10674,-2032,5040
-616,-2748,2492,5993,-7833,4528
-6644,8256,17508,-11772,7786,-4627
184,-7052,32767,-4912,-1873,-4107
6516,-9240,22964,548,6622,6785
5400,2348,18324,-5912,2928,-3976
4276,-5820,8108,13085,9338,1685
7432,-12260,5228,-8874,-6516,17
1328,9252,30084,1728,-807,-2315
-4296,-1064,30204,-16617,6478,-9353
10604,-5992,5200,6020,-15040,4057
-9316,7560,31264,-1722,7659,-5206
2740,-796,8996,-13805,-20,-2692
5076,4812,3340,-1409,-5739,-2273
-5604,-5972,32767,16248,-83,2305
-7328,-8180,27644,3731,-4327,4706
340,2764,25100,-10660,-2277,1262
2588,-6744,8844,13440,-819,5313
13464,3760,2252,-11747,-17230,676
-2536,-11268,24276,16839,15454,5496
-4740,-6584,1932,-8154,-1780,6824
-828,-5464,30652,-12746,658,298
4012,6452,14908,10870,-4229,3322
-6528,15692,27724,-8407,82,-10779
3540,-19364,32052,-17118,4988,-1524
9468,6020,-13724,-2785,-25654,-4883
2488,-13656,-11364,16124,-6789,-419
-2328,10200,8176,2261,-7535,-2511
896,-13068,27916,5377,22972,5519
3304,-10500,11428,3109,-6685,393
2292,-2976,16892,-2801,71,2063
348,368,19564,542,71,-1233
2040,648,19276,-2250,-547,1737
2316,-1716,18284,-3000,-1112,121
2804,-1476,18332,408,781,-96
1400,-932,18152,-277,524,-873
1760,-624,20044,-1286,481,-137
