ax,ay,az,gx,gy,gz
2852,-1680,11988,-530,419,-43
-16,-708,18784,203,-272,127
-456,-1388,17040,148,3523,-2012
-1868,864,20580,-6369,-1819,-878
3316,-5356,17484,-4971,-1549,-311
2436,-5992,18240,6910,4248,-861
-3736,3796,16648,14043,3584,1305
-1476,6000,16672,122,310,-292
-1920,-2420,19952,-19881,-8224,804
3332,-6792,17396,7694,2198,-672
-4752,3352,21140,14410,7937,2433
-1824,7836,17408,-10791,-6263,-1125
2208,-8752,17760,-13956,-6114,1109
2768,-5912,16280,8329,3757,-585
-916,5632,20768,13160,10299,2814
-5324,-60,18240,-21053,-11162,-2115
6640,-9520,15772,-13857,-12860,1977
-1584,-640,12556,20401,11552,-1643
-40,8552,18308,-6435,609,-255
-1680,-1932,17476,-20403,-14084,426
2016,-8952,16732,3828,1399,-625
-184,-2020,19192,17807,6459,-1545
-1876,9232,18228,-1911,278,633
928,-980,19100,-18260,-10443,-1814
-988,-8244,21124,-8071,4706,-1195
-40,-2064,17192,17647,6767,-674
-724,8944,23288,-2026,3315,1874
2700,-5944,16328,-15991,-4321,379
404,-8716,20832,-4307,1514,-252
-3380,264,17312,19020,7070,1222
1000,5000,18924,10085,3311,2066
3464,-5964,14648,-20926,-2321,-506
1212,-5900,19356,7680,276,471
-716,3908,18632,17518,6988,475
3680,9236,23812,754,-483,467
1740,-4184,14452,-19280,-1534,1770
-1520,-9696,22640,-10245,4615,1785
1412,-3124,14920,18319,79,-1913
1440,3560,15204,15934,3076,-140
-1716,2936,16340,-19367,-6212,-1035
1724,-7412,21984,-4410,1894,-162
-1556,-124,13036,20317,675,338
2384,6428,17280,7138,1852,1019
-1708,-5704,19612,-22419,-958,-379
3468,-5916,19384,-6233,476,-185
-3272,-16,12840,23931,1536,807
1788,8092,20376,-7148,-610,391
408,1692,15004,-17939,-6225,685
1896,-6368,19660,0,-1237,408
-696,3176,16964,17861,3809,-185
3176,7232,18968,863,-977,-581
376,-7012,17472,-18899,1593,-231
1176,-9400,18988,-3902,-344,-37
124,568,14156,22023,6631,1061
748,5804,16752,12229,5896,1272
-2848,3004,16168,-19006,-4528,-2355
1288,-6820,19108,-283,-2280,280
-1516,3628,18096,20793,5466,735
1380,8824,23264,4371,1685,1018
-3004,2048,18444,-18581,-1222,-263
-3100,-3932,19704,-13879,3477,-2335
-84,-4684,14092,13112,-2664,318
-292,8108,12600,12526,10027,2895
7004,13804,11504,-240,-1619,543
3952,7344,8040,-1032,4016,-2718
-4228,2644,27144,-871,9888,2074
-2764,5456,18336,909,2260,1347
-5980,44,24500,-1006,7177,321
932,-1764,3564,-8568,-8198,-469
1808,884,23052,677,-1631,-903
-2136,-1780,14240,-7774,-3984,-612
-588,-4228,18252,2788,2672,391
-2328,1376,20964,15794,-2785,-1334
1436,4212,19108,5976,-453,524
-920,-496,11564,-22073,-2680,-909
1684,-8908,20460,-13919,3799,-254
-2820,-2876,20196,17916,6533,181
996,3952,18824,-113,-2775,-110
-1304,1680,15164,-16216,-4990,-1313
3600,-4420,18404,232,3512,1339
-3960,4800,24000,20826,6724,2921
-836,4432,19016,2325,-1931,1142
-3276,-3924,17204,-20476,-3117,-1813
1296,-5620,17356,8250,1969,602
-1884,1140,18028,19717,4181,693
-468,4588,15796,-11216,-4874,-1354
428,-3460,13696,-19796,-3433,-1656
928,-5592,19992,9165,3668,133
352,3964,20356,10403,2720,1313
-60,5440,15464,-8252,-3696,-165
-508,-7936,19380,-12637,1275,656
1248,-5848,19696,8171,2921,1108
-1156,3544,21728,15022,4153,1384
-1136,-652,13944,-19316,-5667,-1447
-1204,-6924,17408,-17637,714,388
1332,-5776,18220,14333,2226,-477
1364,6180,21360,6726,-743,1586
-588,4072,14448,-15456,-5514,-83
-648,-10284,21364,-8508,5348,1646
-376,-7096,20224,7623,2250,555
-2024,2536,20452,10878,5052,521
-8,-2776,14056,-16443,-4812,229
-704,-8168,18592,-12792,1037,2292
392,-1896,16956,16052,-909,-1755
-1172,5488,19792,837,-2231,627
-1692,-3664,16596,-19941,-1756,1380
-332,-6904,21924,-9324,86,1732
608,-1592,15684,17708,1251,-2033
-276,2980,19064,14314,4228,-153
-1856,2644,14480,-16165,-2010,-12
2336,-10816,16824,531,-2205,2021
296,1100,16212,19085,1191,-1439
-56,6692,23144,7728,4525,-177
-864,-2004,13952,-20921,-4289,-1299
-1956,-9076,22292,-12144,2675,580
140,-1920,16184,17112,1208,-1416
-56,4408,20100,15180,4615,1172
-828,664,16236,-15481,-3908,-2797
2824,-7192,16764,-4250,-1933,71
-1860,1132,18696,14956,8340,1145
-2900,3868,22368,3840,5535,-872
-1172,212,17668,-2120,-3075,522
956,-492,16704,29,-1322,1397
-516,632,19560,-632,374,-274
-220,200,19724,-686,1248,673
-840,876,19676,-2107,-1163,1704
