ax,ay,az,gx,gy,gz
828,-1236,20508,-223,535,28
1820,-644,18888,1078,676,237
164,-88,18172,563,387,-750
-1544,1656,17888,1992,1426,195
-684,760,19772,-3154,-517,372
2488,-804,19876,-1400,-1203,42
1032,268,15056,611,5484,486
-6772,2060,13012,-695,13368,992
-5116,-636,21236,-258,-31452,-2087
5588,452,10000,2094,-29070,-976
-1248,236,13280,364,23398,722
-5576,-1116,21804,737,7880,641
8448,304,9668,1965,-16417,436
516,576,14544,-839,17097,-400
-6628,-556,25020,-1157,-11938,-764
-1840,1416,14396,535,-28662,-987
-7256,-1604,19236,-1116,32767,1057
-5088,-1172,25536,-269,-4996,570
5440,-384,11540,-119,-1614,-459
-5300,-336,23368,1089,31661,1284
2352,444,11608,786,-28921,-1376
4012,944,11824,-40,12300,286
-7240,-1092,25432,-382,-13245,-190
3244,2128,11076,1539,-26434,-1090
-10076,-816,19948,-1450,32767,-255
-8364,-1544,28224,-1367,-7823,-274
5460,636,12084,-738,-3879,-335
-2144,-1076,23868,-369,10892,2039
4252,272,9768,699,-11196,-348
-3328,-920,24012,-7,26551,2603
-5364,-416,20204,-74,-26193,-1440
2816,568,13664,-376,12819,-377
-6376,-1264,26192,-858,-14102,-436
-936,792,16924,1542,-30047,-356
-8296,1200,22084,-2051,32767,1173
-4888,420,18260,898,-32768,-681
-5460,-1512,18280,-2483,29841,42
-556,-116,21168,1254,14114,1895
2556,232,15728,357,-9837,-484
-1404,-828,13076,-859,21499,16
-6360,684,21956,-1779,-22016,-1023
3596,500,12724,-135,9468,-56
-1196,-868,27224,-507,-1976,-61
4656,664,14544,-272,-2209,-341
2356,16,15352,-862,16680,337
-7476,-1148,26212,-1154,-11240,-326
-440,4492,15696,1622,-32768,-1227
-14096,-1484,22876,-3575,32767,-1463
-6788,264,24968,-456,-5801,543
2708,-300,10992,62,1037,-403
-3840,-840,25040,-115,2313,1274
4568,648,16724,349,-9126,-792
1724,236,12620,216,14451,-626
-3420,-464,29336,-789,-3412,417
-4796,3064,16712,2826,-32768,457
-2616,1000,11068,-1515,29766,-1080
-5916,-740,22556,-1036,-1996,372
-13100,-1760,20548,416,-32768,25
5888,580,13616,-1377,1760,203
-8552,-900,17248,871,32767,-808
-10504,944,18720,475,6988,629
-9768,-1436,28876,-1614,-29851,1341
5184,1452,16112,720,-23841,228
1100,504,10896,-1169,21282,3
-6648,-792,24028,-345,32767,-648
-8060,-1612,20976,-339,-32768,124
3472,1408,11076,-280,10668,-719
-3524,24,23184,-88,11330,7
-6080,-724,19052,-1142,-31244,1125
1888,1080,14148,-1165,15743,-412
-5208,-592,23936,-1131,-15441,92
-3512,2628,13012,1685,-32768,-221
-5436,-824,20024,-2954,32767,572
-10760,-2996,22300,-285,-32768,152
-2072,208,15180,-433,21419,-1038
-5220,340,25364,-300,24505,1542
2512,3708,13308,203,-26490,-857
3336,800,12208,651,7843,-300
-3096,-972,26356,-284,2186,774
-5340,-1216,15564,619,-32768,1221
1632,660,11832,-408,18432,-902
-8540,980,25832,1327,29892,-46
-5864,-44,14408,228,-32768,41
-2808,1324,8972,-1100,27971,-1506
-3140,-292,27528,416,28165,1281
-2812,2768,7080,1744,-32768,396
5208,72,14408,613,3875,227
-5380,-840,26004,581,25696,847
-1012,2380,12836,1044,-32768,19
4408,972,14268,-43,2636,-422
-3252,-380,24732,727,19065,406
-8300,-1500,17168,587,-32768,994
2468,1108,15336,-1217,12890,-578
-2700,-892,19808,-1530,31843,717
-5016,592,16656,-219,-32768,-355
2708,-8,15728,714,-1920,-1091
-6796,852,22244,962,22703,801
1516,1392,11400,28,-32768,-1266
-6612,-264,14984,-675,32767,-1290
-4228,-932,25584,256,7862,855
9060,1028,15512,799,-15671,139
3660,992,11908,-83,9123,-232
-5044,1048,24444,1164,16872,789
-9656,-1256,18472,-2866,-28796,1108
3868,340,15880,261,3226,244
-6244,-1080,25716,694,32767,1984
-11200,1176,14916,451,-32768,-526
2744,532,12924,1316,-2655,-633
-10196,-384,24240,-749,32089,1579
-9528,-516,20500,-1457,-11399,122
4912,-684,14540,424,-4460,-485
-1984,68,12240,-562,24856,-457
-10020,-796,22600,-2122,-20096,-332
5012,-592,16856,-199,-2538,-468
-3808,1232,21040,488,2280,-59
4704,-368,18920,343,-1754,530
1460,416,18028,-783,678,170
2504,-420,19452,-439,702,231
2696,-228,18680,-103,257,100
1744,236,18120,1,76,-535
3288,-568,18704,-462,1033,-172
4084,-328,18596,-65,419,-249
