ax,ay,az,gx,gy,gz
1132,96,12900,1133,1363,-821
-60,-496,544,504,5111,1084
-27208,10008,32767,-5767,-8911,-460
-2424,-2724,11924,-2654,-12210,-2369
-112,-1188,22080,2228,-2393,390
-1000,-780,23432,48,5657,-1412
-2820,-732,21400,-1680,-2615,-796
1204,-1360,16760,-168,-569,-455
-928,-1408,18384,-768,-890,-782
1028,-168,10044,259,-4264,124
2676,520,-280,1796,-569,379
-3456,-1256,7692,1920,18828,6293
22040,-14200,-404,-8572,-27973,5846
-3372,-5152,9476,-3208,-11424,-3869
1816,-484,21664,3270,4966,-307
-2460,640,21452,907,-980,-1139
-880,56,19836,767,-1601,-1176
-2564,-16,17212,1001,19,-1533
-956,184,14908,759,-3548,-1000
2788,-360,4796,1849,-4755,1109
72,1384,1340,3229,14352,5783
10192,6808,6900,-22935,-32768,-749
-1420,-2668,14284,-2578,-9503,-4519
-4348,1780,21788,1975,6585,435
-808,-436,20040,-190,-2329,-749
-796,-868,19892,-449,-3387,-722
-1252,292,19844,459,-1754,-1024
-1888,480,17076,-1026,-3271,-1043
180,-492,15016,-278,-1971,-911
424,-2008,1184,1482,3634,620
672,1336,1480,2042,12107,3095
912,-13844,32767,-5216,8303,577
24,-5176,10284,-24,-12798,-1172
-4664,1580,20448,1501,2114,-853
-2728,312,21512,406,1348,-88
-1440,688,20096,-758,396,-65
-3696,592,22192,-1708,-2297,-902
-4212,792,22264,1035,668,-2339
468,-1372,2396,945,-6336,599
692,1500,1136,2188,4815,3989
-32768,-32768,32767,11336,32767,-2322
-836,512,2704,2111,1847,-3323
-4620,-2648,11236,3070,-11132,328
-4924,3324,16708,-3354,1042,-11
-6464,-1104,23956,-1382,377,-2792
-920,-52,15956,-3104,-9870,-449
-8228,-1080,22708,310,-3178,-2588
3860,-4904,-1128,595,-9530,2135
-460,2304,3388,4912,11602,5917
-17432,-18432,32767,-2997,10461,4094
-7328,1520,32767,-2673,22634,-2123
-176,-3900,7172,-2422,-8507,1029
3152,1684,13684,1588,1309,-493
-172,640,16704,-465,1774,-833
2148,28,17092,123,-976,1325
-320,-64,20612,-267,4882,-54
-1000,208,19632,336,7115,-741
-2364,1020,19576,-307,2092,-356
