ax,ay,az,gx,gy,gz
-16,-668,20676,537,1604,-278
612,-192,19600,635,-787,34
-1408,1452,20980,-659,-1233,163
-1532,-252,12980,352,-2660,-335
-788,996,2092,-1587,8605,3607
604,-11176,23088,7545,12822,2184
2364,776,26608,-1815,7318,-1126
-148,-2692,20624,-1606,-110,167
-1444,-1296,16040,439,1061,189
-648,-408,15300,962,1016,648
764,212,16220,208,-923,577
0,-384,19320,-177,863,-74
-164,700,15368,289,-128,-99
-696,-316,2516,-2956,7926,2486
-6224,-2856,14776,-2425,18134,2920
-2768,3188,28960,-381,-13599,-3063
1368,-1512,15672,-1246,115,-1053
-1712,-328,21968,1343,1218,-807
-812,-544,17436,332,1566,-987
-576,-504,17836,-424,714,-350
-972,-600,18028,546,1800,-66
-1312,464,16464,1307,319,-422
620,-728,3908,-692,-632,202
-10416,2288,28888,-4210,13107,-972
-3496,560,10772,3409,23372,237
-592,740,16392,-1588,2159,-288
-2728,-2784,16700,-2048,-4735,-654
380,-756,16868,1775,1884,-108
432,-564,15500,-515,-981,-819
324,-396,16948,113,76,149
-396,76,18996,841,1312,-45
-848,-260,19356,-743,1581,-565
-1768,-2640,7524,-1217,996,-1348
-2012,1720,4556,4010,17252,6952
32767,32767,-32768,-23495,-32768,-3640
-4736,-6024,9916,-2953,-17653,-5849
-2336,0,17260,-269,-4904,-3550
-2440,2132,22276,489,-5547,-1604
-2716,-1456,17364,-2543,-1896,-2269
-356,-948,18292,34,-796,-605
828,272,16940,-116,292,-81
584,-1192,16688,531,-1510,-8
-1664,-1448,1756,-438,22373,4551
-6628,3392,21936,-4913,24906,3330
-1256,-980,16180,-2691,-13654,-4305
-5084,-2296,20016,1213,450,-4640
448,-644,17420,1328,-9515,408
-2904,312,17712,491,-1799,-805
1108,268,16516,-671,-3629,-2189
160,320,19772,-736,393,-753
932,156,18216,201,1433,-334
448,32,19044,-556,1539,643
692,56,17980,483,1000,139
1616,92,17736,-139,746,514
860,-4124,2948,-94,-6615,3219
460,-1100,3924,4475,6971,4840
-900,368,30896,-2162,9350,-2128
-3032,-3088,12344,975,9970,-1120
-4384,340,20300,3919,1623,-105
-3324,-880,19048,-2304,-3258,-2130
-584,-364,17604,-1023,-1921,101
-460,-408,17840,-729,-189,-340
-1124,-1156,17840,-247,-1452,-546
272,-732,17468,304,-2455,-860
968,-964,-3156,3987,-2720,1593
-4856,1892,10320,-4165,14421,2991
-8092,1216,21700,1006,11883,-4854
-568,2552,19844,155,-9592,-1092
-2680,756,19404,708,995,-872
-516,-112,18560,-127,-5301,112
548,-392,16288,-11,-1533,-91
340,192,16852,-21,1427,144
456,288,18496,-1179,286,152
1904,744,7320,930,-2573,296
-1084,1396,1956,1414,15140,5583
-16648,-10928,32767,-703,-19384,59
-320,-2092,15028,-3625,-19178,-807
1208,244,23916,1749,4660,-1656
1012,296,19080,884,-1284,-437
156,-456,17200,1510,242,-1165
200,-708,17336,480,1000,-843
-532,404,18496,-512,-539,-661
1500,-2136,124,306,-6401,-326
112,2444,1936,3546,15840,9243
-32768,32767,32767,-4001,-11193,6677
-2748,-2260,21560,-5638,-16579,-3509
-5072,2144,20812,-572,3149,-3272
-2032,1128,23360,424,-230,-586
-1100,1636,18376,-1069,-3708,-488
-1488,404,18116,-690,-917,-1075
376,52,16708,-74,2331,-1130
-668,400,17328,-1037,1574,-617
1116,432,8148,588,-2024,-1115
-548,824,1832,-992,13333,2702
-12232,-880,26128,-549,8745,4347
-384,2072,18220,-2317,-18170,-5420
-2752,1284,28080,1043,6974,-1883
-472,-1452,18600,-2330,-3756,-1105
-892,-620,18304,-94,-2648,-185
516,1152,17128,2754,3298,-1313
1424,1024,15632,-725,546,-778
-1416,-760,16788,-447,1864,-459
1700,-144,4984,536,-4612,2280
120,-112,1008,-1194,11680,2059
-6296,1784,23476,391,160,-353
-1036,-24,24736,4727,11381,-452
-6344,1268,25488,3257,4532,-385
1048,-168,15956,-1348,-8129,-1179
908,1424,19228,495,1583,-951
472,620,17164,-1312,-1026,-723
1140,116,16376,-784,-1031,-180
