ax,ay,az,gx,gy,gz
2868,1096,5696,7701,15052,2937
140,584,4472,10071,9758,3603
-15664,15324,32767,-9515,-13476,-8275
-3464,-3256,17188,-3062,3571,1206
1172,1520,18108,2755,-5529,-957
1276,1812,21868,-542,3891,-628
-264,1060,20564,-549,2005,-290
-1224,-1256,21652,-2233,328,-884
-316,-520,26808,-1871,-1810,-584
7904,-3056,3672,132,-1587,-1209
-408,2436,3448,5979,13247,4635
-15548,18824,32767,-12395,-32768,-2723
-6984,1464,22160,-3117,3372,-1848
5012,2636,18832,1938,-490,319
-2288,376,20420,-3885,5870,75
1340,892,19872,-358,556,-299
-992,-68,29848,-1024,-3134,-85
3212,-80,23556,-2717,-3606,-1474
3344,2600,-4084,6832,10619,978
-9244,7624,32767,-193,5381,-1277
-9408,296,32767,-8490,20090,-2215
-2160,-984,13812,3598,-9103,1404
-1640,420,19252,-1384,3372,-1443
-2232,1540,21996,680,266,48
-2792,524,21880,-778,-773,101
664,868,31100,-4259,-8593,-2836
3480,3348,-5668,7211,12057,1622
320,700,-5812,4062,15201,1803
-12292,2632,32767,-9694,-1996,-3221
-2024,-980,10612,703,-4406,-2486
72,1952,22724,-2955,-5615,2042
-1460,-368,17748,-2277,1416,-530
-20,-76,18088,-886,856,799
1412,-1692,32767,-845,-2581,926
2376,-512,5692,-4116,-6815,-2439
2552,-1248,-2208,-890,-1077,-2131
-1812,-712,32004,10181,-1495,2059
10732,2176,32767,-1370,4861,-332
2340,-248,14348,2902,-706,-258
636,-1216,17696,2446,1000,-72
2476,-284,16728,-2142,348,-167
992,-56,22604,-888,1734,536
2812,1412,27476,-1757,-1676,-692
1352,820,948,-2274,-5989,-992
24,1748,-2556,10788,12586,4566
-3796,-7560,32767,-4380,25250,745
-408,-2124,14248,-5676,420,-1594
-1944,-232,19596,-457,810,-913
-312,-16,17864,657,-258,-1098
-2272,-1496,22176,-2316,1188,-351
-3628,-1224,32316,-1613,-3927,-1920
2264,3556,764,874,-9271,-388
-664,1500,1080,5498,15631,3187
-13572,-13536,32767,-5216,9020,-2650
1212,6948,32767,-1542,4516,-345
24,-5840,15972,-2890,-402,155
-440,-104,17424,2992,109,-554
-344,-1244,21632,-660,2210,-458
-3368,-800,27928,-932,653,-1756
3680,380,5192,-3160,-12313,-1751
776,2268,-1736,7536,13965,3038
-2400,1580,4124,11328,15088,6226
-4940,2940,25048,-4324,14811,-3860
120,-1232,16780,3843,-7960,631
-200,-740,17824,-1317,-1537,-1067
-316,-768,19984,-1130,1239,-119
-3720,-1272,32232,-126,1725,190
2788,1448,9856,-2796,-8859,-1918
964,76,-4612,595,-3033,-693
-32768,-20748,32767,9847,18814,6267
1732,5836,32767,-13048,-14561,3570
620,-2720,15508,3180,-3896,-720
1388,-1756,16408,-896,-2034,-2132
-460,-1248,22712,-1355,2230,-64
-352,-1168,30664,8,1949,-703
-3936,-564,30212,-1726,-1328,-950
1960,432,-4004,-1604,-5582,-1731
-364,5036,-1880,12299,20121,7740
-5332,4040,32767,-23555,-32768,-1348
1792,-7572,11936,4055,4560,-5116
-2044,2924,19768,-1301,6930,-1869
-4472,652,17356,-1778,-468,-2672
-3684,-1008,19424,-3669,295,-92
-4644,-1852,30832,-423,-2830,456
-1384,1136,17508,-944,-7720,-2771
-20,1964,4516,-3815,-12013,-1623
-1820,4444,2068,12395,23267,4537
-10648,6560,32767,-14015,-28840,-95
-2040,-3080,11600,281,-7185,1500
-6200,3052,30084,659,7397,346
-1428,2500,18348,272,-4985,154
-2028,180,17312,-281,-200,-556
-1540,624,17196,-665,-3027,42
-620,1204,18236,-657,-1806,59
-448,-160,18208,-1042,384,-623
340,-272,18740,-324,-324,176
-548,1024,19996,-1371,40,300
136,-308,17780,-1576,1260,-434
344,-488,17996,-1138,-637,339
