ax,ay,az,gx,gy,gz
696,-620,18404,-93,623,-12
48,-416,18676,161,997,-181
-860,-356,21112,74,40,-145
580,60,18672,-715,-885,-364
-1024,644,7928,976,-605,409
1468,356,3340,3528,4340,1380
-28784,8380,32767,-4283,15437,-160
-2248,2380,18960,7098,16162,-931
-5252,-668,27064,-1214,207,938
-3224,-260,25520,-3217,-2108,-1783
-3456,-96,17960,-2403,-1885,-459
1980,360,12816,-2169,-669,-1878
724,-1116,14248,-1051,881,-1381
-1572,-944,17184,286,2772,-1500
-1300,-528,16840,-343,1543,-331
-2764,1320,11212,304,4709,351
-1524,-2648,12348,298,2394,-473
-6412,4336,32767,1681,9867,207
-2736,-2656,15220,-4483,-9029,-512
4784,-908,27392,-4581,-16983,2600
2460,-1952,18756,149,781,-59
1876,-2364,16972,330,2222,-2351
2120,-1972,15428,132,3327,-1314
2116,-2004,16452,792,656,-645
860,-1764,13984,1197,114,567
2044,212,9540,2079,-1630,1478
-544,1252,18936,-5,13776,638
-5924,5188,32767,2620,5442,-1096
-7968,-3140,18888,-1059,6750,-147
-1780,-3056,14200,-1530,-17142,-1897
-388,-1892,20808,-927,3534,-1875
2040,-636,15552,653,-1064,-316
556,-296,17288,319,2677,123
-1156,-2220,19600,-1066,391,-271
1340,-264,3168,-898,-5876,525
-2052,948,3656,10984,25985,10363
-7624,-80,21200,-3926,8985,-1679
-3044,-3404,17316,3594,-9611,-925
-2380,-3508,17632,180,5082,-2500
-144,392,18104,785,-1726,1311
-2996,-480,22188,-449,1587,-2203
-4084,2052,30736,-766,-7082,-2061
2564,-1188,4552,-1506,-13941,-3490
-300,-252,1368,14107,18669,2680
-1892,21364,4396,6418,13885,-2140
-1308,-3664,16532,-4935,-3436,-1725
-1540,1372,20028,48,612,1763
-108,752,20004,-343,-3383,460
2708,532,17828,-1123,-4370,-212
2668,-1028,23468,-1310,997,-465
-604,120,30476,-3329,-3135,-447
3364,-396,-2412,2306,-1348,309
232,1996,-632,6169,13483,902
-21604,6180,32767,-7646,6965,-9854
-5744,-2740,25088,-3700,-3947,-633
-744,-316,17776,2050,-1221,1354
-2220,1240,21952,470,1601,593
-1672,-676,18716,132,-2168,107
-1808,-228,26008,-98,-2338,631
-112,-640,22092,-1450,-5778,-587
2720,2088,3652,2381,-3321,-2
-584,-1076,1044,5190,18945,2663
4528,2000,19480,-2887,-12440,-1442
-8,-1744,12768,719,1232,-401
-2236,1068,18536,2213,1960,745
-1040,844,18216,-1000,-2056,-184
-1156,272,19060,-397,-746,54
-332,252,27788,-1142,-3049,43
